@relation 'AT: car-training-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.573persons=4-0.405safety=med+0.346safety=high-0.327persons=2+0.296lug_boot=big-0.262lug_boot=small-0.248persons=more-0.142doors=2-0.089maint=high-0.087buying=low+0.083maint=vhigh+0.071doors=4+0.06 safety=low+0.051doors=5more+0.051buying=med+0.046buying=high+0.041maint=low-0.034lug_boot=med-0.033maint=med+0.022doors=3...' numeric
@attribute 0.501safety=low-0.475persons=more+0.404persons=2-0.341safety=med-0.241lug_boot=big+0.203lug_boot=med-0.167doors=3-0.159safety=high+0.157doors=2+0.138buying=vhigh-0.115maint=low-0.111buying=med+0.082maint=med+0.065persons=4+0.051doors=4+0.048maint=high-0.045doors=5more-0.041buying=high+0.037lug_boot=small-0.016maint=vhigh... numeric
@attribute 0.558lug_boot=med-0.474lug_boot=small-0.384safety=low+0.341safety=high+0.275persons=2-0.175doors=5more-0.169persons=4+0.117doors=3-0.108persons=more-0.086buying=low-0.083lug_boot=big-0.08maint=high+0.075maint=low+0.057maint=med-0.053maint=vhigh+0.052buying=high+0.046buying=vhigh+0.043safety=med+0.043doors=2+0.016doors=4... numeric
@attribute '0.498lug_boot=big+0.458persons=2-0.412lug_boot=med-0.379persons=more-0.228safety=low+0.206safety=med-0.187doors=3+0.139buying=med+0.126doors=5more+0.105doors=4-0.103maint=low-0.098buying=high+0.088maint=high-0.085lug_boot=small-0.084persons=4-0.072buying=low-0.046doors=2+0.04 maint=med+0.032buying=vhigh-0.025maint=vhigh...' numeric
@attribute '-0.533safety=high-0.5lug_boot=small+0.309lug_boot=big+0.307safety=med+0.226safety=low+0.192lug_boot=med+0.186doors=4+0.158buying=low-0.148persons=2-0.141doors=5more-0.137maint=med-0.136buying=med-0.114doors=3+0.109persons=4+0.098maint=low+0.065doors=2-0.06buying=vhigh+0.056maint=high+0.04 persons=more+0.037buying=high...' numeric
@attribute '0.48 persons=4+0.47 safety=med-0.387persons=more-0.36lug_boot=big-0.289safety=low+0.222lug_boot=small-0.191doors=2-0.182safety=high+0.138lug_boot=med+0.102doors=4-0.102buying=high-0.097persons=2+0.083buying=vhigh+0.07 doors=3+0.05 buying=med-0.04maint=low+0.031maint=vhigh-0.031buying=low+0.02 doors=5more+0.014maint=med...' numeric
@attribute '0.581maint=med-0.495doors=2-0.427maint=high+0.258doors=3-0.203maint=low+0.167doors=4+0.144buying=low+0.135safety=low-0.124safety=high-0.112persons=4-0.079buying=vhigh+0.077doors=5more-0.069lug_boot=small-0.064buying=med+0.061lug_boot=big+0.06 persons=2+0.052persons=more+0.047maint=vhigh-0.01safety=med+0.008lug_boot=med...' numeric
@attribute '-0.502buying=low+0.389buying=vhigh-0.388maint=high-0.348doors=5more+0.261maint=vhigh+0.233maint=low+0.225buying=high+0.207doors=3-0.179lug_boot=med-0.123safety=high-0.111buying=med-0.099maint=med+0.097lug_boot=small+0.081lug_boot=big+0.081doors=2+0.065safety=low+0.06 doors=4+0.058safety=med+0.057persons=2-0.037persons=4...' numeric
@attribute 0.497buying=high-0.481maint=vhigh-0.469buying=vhigh+0.371maint=low+0.218maint=med-0.16persons=more+0.144doors=2+0.129lug_boot=small-0.117maint=high-0.109lug_boot=med-0.108doors=5more+0.101persons=4+0.057persons=2+0.034safety=med-0.021doors=4-0.021buying=med-0.02lug_boot=big-0.017safety=high-0.017doors=3-0.016safety=low... numeric
@attribute '-0.683doors=4+0.296doors=3-0.293maint=vhigh+0.291buying=vhigh+0.275maint=med+0.202doors=5more+0.191doors=2-0.141lug_boot=small+0.14 lug_boot=big-0.135safety=high-0.121buying=low-0.115buying=high+0.114persons=4+0.086safety=med-0.069persons=2-0.056buying=med+0.054maint=high+0.049safety=low-0.046persons=more-0.043maint=low...' numeric
@attribute 0.666buying=med+0.416maint=low-0.358buying=high-0.239maint=high+0.181safety=low-0.176buying=vhigh-0.158maint=med-0.142safety=high+0.137doors=5more-0.127buying=low-0.108doors=2+0.102lug_boot=med-0.091doors=4+0.087persons=2-0.069persons=4+0.065doors=3-0.054lug_boot=small-0.048lug_boot=big-0.039safety=med-0.018persons=more... numeric
@attribute '-0.544buying=low+0.445buying=high-0.42maint=low+0.311buying=med+0.259maint=high-0.207buying=vhigh+0.17 doors=5more+0.141lug_boot=med+0.133maint=vhigh-0.132safety=high-0.097doors=2-0.094lug_boot=small+0.093safety=low+0.062persons=more-0.047lug_boot=big-0.04doors=4+0.039safety=med-0.032persons=4-0.032doors=3-0.029persons=2...' numeric
@attribute '0.614doors=5more-0.424doors=3-0.376maint=high+0.283maint=vhigh-0.256buying=med+0.212buying=high-0.208doors=4+0.18 maint=low+0.101lug_boot=med-0.079maint=med+0.075safety=med-0.068safety=low-0.058lug_boot=big-0.043lug_boot=small+0.034persons=2+0.03 buying=low-0.02persons=4+0.017doors=2-0.014persons=more+0.013buying=vhigh...' numeric
@attribute '0.506doors=2+0.443maint=vhigh-0.336buying=vhigh-0.297maint=low-0.289maint=high-0.274doors=5more-0.227doors=4+0.205buying=low+0.197buying=med+0.152maint=med+0.1  persons=4-0.074persons=more-0.07safety=low+0.069safety=med-0.064buying=high-0.039lug_boot=med+0.036lug_boot=big-0.027persons=2-0.01doors=3+0.002lug_boot=small...' numeric
@attribute 0.528doors=3-0.434maint=med-0.283doors=4-0.265doors=2-0.258buying=vhigh+0.255maint=vhigh+0.244buying=low+0.226persons=2-0.193persons=more+0.193buying=high-0.181buying=med+0.144maint=high+0.055safety=low+0.042maint=low-0.042lug_boot=med+0.037lug_boot=big-0.035persons=4-0.035safety=high+0.031doors=5more-0.02safety=med... numeric
@attribute quality {unacc,acc,good,vgood}

@data
2.530772,-0.607017,0.696267,0.649221,-0.962221,0.247198,1.382488,0.988453,-0.49287,2.240883,-1.158028,-0.925203,-1.321445,-0.15659,-0.421068,acc
2.126783,-0.531656,2.112041,-1.910499,-0.447345,0.753429,-0.34886,0.824139,1.89966,0.281401,0.057751,-0.056739,0.075412,-0.722803,1.542321,acc
-1.49359,-1.856242,1.099544,-1.164689,0.688331,0.727227,-0.417788,-0.963995,-0.867798,0.770529,1.251305,1.765718,-2.099567,-0.321495,0.603877,acc
0.088004,-0.816512,2.179844,-1.915281,-1.359053,-0.537658,1.617983,0.47002,-1.240068,1.607119,-0.733225,-0.324868,-0.968309,-0.685285,-0.925171,acc
-0.632947,-1.250309,-1.30157,-0.621378,-1.939752,-0.782461,-0.76757,-2.947948,-0.647492,-0.367407,-0.969761,-0.602344,0.497086,-0.979096,0.491911,acc
-0.003882,1.337567,2.314737,0.588025,-1.818282,-0.034006,1.210591,-0.656209,-0.989086,1.338165,-0.344061,-0.050932,1.545794,-1.196051,-1.195703,unacc
-0.470955,2.161812,0.642883,0.305706,-0.38728,-0.333446,1.791963,-1.411805,0.044458,0.928177,2.293758,1.626002,0.79152,-0.113696,-0.830707,unacc
1.555389,-0.306695,-0.944455,0.387135,-2.917738,1.290934,0.714347,-1.424123,0.640613,0.623219,0.949977,0.64233,0.501015,0.392565,-1.476823,acc
-1.497143,0.212666,2.404049,-0.077199,0.565161,1.341238,0.07828,1.784416,-0.312922,1.299188,1.026694,-1.188742,-0.095472,-1.473694,1.086725,unacc
0.832634,0.100827,0.840441,2.080948,-0.034082,-1.122982,0.822733,-0.367435,-1.156501,-2.666118,-0.755502,-1.462798,0.189166,1.012548,0.99785,unacc
2.895969,-1.188711,0.07536,0.749033,-0.258435,-0.421148,-0.660363,0.085903,1.878298,0.355706,-0.093176,0.013025,2.150101,-1.175897,0.547387,acc
-1.1438,0.371148,1.736461,1.026911,0.81635,1.503457,0.472309,0.359001,-1.274718,-2.345962,1.62008,1.273047,0.039361,0.98669,-0.119105,unacc
-0.678884,-0.934735,-0.738431,-1.278992,-1.630484,-1.179999,-0.985233,-0.449937,-0.926647,-1.211594,-1.028071,-1.499043,0.639244,2.516245,0.082716,unacc
-1.336875,-1.655892,1.591166,-1.852956,0.962853,0.719511,0.062355,1.619699,-0.77586,1.347043,0.804843,-0.9943,-0.195782,-1.574593,0.196188,acc
1.093365,1.657173,0.205711,-1.70291,0.840006,1.033218,-0.489459,0.171401,-1.448688,1.829514,-0.342606,0.477403,-1.79413,-1.478556,0.929007,unacc
0.357305,-1.04389,1.926531,-2.065224,-1.083398,-0.497183,0.399564,1.310528,-2.867712,0.290798,-0.412357,-0.078259,-0.12258,0.005495,0.667536,unacc
1.233773,1.081241,0.070084,-1.45427,0.66214,0.960203,-0.457394,-0.983658,-0.417294,1.02963,1.610882,1.677153,-2.418518,-0.245942,1.102173,unacc
0.717386,2.407083,0.031153,-1.37222,1.255888,0.433073,-2.22146,-0.125848,-1.07953,1.574688,-0.74162,0.329282,-0.765812,-0.298796,-0.909583,unacc
0.2196,0.379409,0.874612,-0.104213,1.706443,2.711571,-1.014011,-0.189248,-1.352177,-0.349403,-1.169839,0.346217,-0.978225,-1.680615,-1.113167,unacc
1.632196,0.932426,0.129791,-1.715024,0.493988,1.044735,0.633626,0.520655,-1.277564,0.219171,2.118899,1.396953,-0.890886,1.457975,1.3705,unacc
0.868476,-2.128063,-0.305484,1.103701,-0.904202,-1.829307,-0.970895,-2.08708,-0.997412,0.375677,0.882188,1.471455,-0.199911,-0.918901,-0.422559,acc
-0.038532,0.998647,2.429229,0.289862,-1.243072,-0.548616,-1.284447,0.022938,-1.004223,-0.811767,1.363969,0.778928,0.381661,2.518768,-0.107351,unacc
0.32947,0.479568,0.005157,1.181323,0.465167,-1.396661,0.529865,1.196682,0.802967,0.715449,3.128083,-0.274449,-1.363882,-0.377081,1.586354,unacc
1.620602,1.095288,0.279527,-2.262583,0.896716,0.692268,0.779261,1.299281,-0.08179,0.084208,-0.256928,1.700512,0.193761,0.851338,2.237,unacc
2.296464,-0.019367,1.137764,-1.004075,-0.773689,0.800617,-0.193366,-0.391129,-0.295898,-0.526788,-0.773946,1.691706,2.73744,0.389933,0.884102,unacc
-0.039681,1.716604,-0.8932,2.09986,0.48484,-1.360989,-0.437726,-0.367841,-1.563715,1.517603,-0.165119,0.554446,0.394901,-2.200876,0.486641,unacc
1.095038,-0.245457,0.716842,2.071145,-1.067317,-1.475515,0.281685,0.360576,-0.198968,-0.6176,-0.763772,1.300372,2.512678,0.279277,1.602804,unacc
2.542058,-1.261512,0.247619,1.008671,-0.69628,0.130126,-0.894887,-0.830411,-0.228851,0.935137,0.608312,0.801356,-2.627736,0.062888,1.076478,acc
-2.213721,0.533702,-0.365004,1.383757,-0.244408,1.453326,2.005869,-0.789664,0.893441,-1.477322,-0.870977,-1.445974,-0.448474,0.394285,-0.631208,unacc
-1.605604,0.209276,1.42145,0.412186,1.006321,0.962168,0.167239,-1.555886,0.542387,0.131801,1.308343,-1.493818,2.357875,-0.841143,1.081144,unacc
-0.743068,1.577948,-1.057622,0.619644,-0.557085,-0.091863,0.036129,0.884078,1.107426,-2.139408,2.754194,-0.393073,-0.819841,-0.945507,-0.363343,unacc
-1.623048,-2.135285,-1.258511,-0.730619,-0.33949,0.354278,-0.348336,0.538459,1.743992,-0.11018,0.218781,0.478179,2.372222,-1.473504,0.173068,unacc
1.302154,1.366762,-0.607906,-0.726721,0.600602,0.842128,-0.880712,-2.274604,-0.629252,0.808531,1.778195,2.145531,-0.004725,-0.857606,-0.058895,unacc
-1.041655,-2.226277,-1.106118,1.008039,1.557804,-0.63533,-0.249079,-2.596529,-0.853288,0.698429,-0.738775,-0.137721,0.639064,-0.762988,0.591264,acc
