@relation 'AT: winequality-binary-training-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.509density-0.438alcohol+0.424residual sugar+0.404total sulfur dioxide+0.298free sulfur dioxide+0.212chlorides+0.172fixed acidity+0.149citric acid-0.14pH+0.042sulphates+0.005volatile acidity' numeric
@attribute '0.582fixed acidity-0.579pH+0.36 citric acid-0.291free sulfur dioxide-0.247total sulfur dioxide-0.209sulphates-0.063volatile acidity+0.05 alcohol-0.019density-0.017residual sugar-0.002chlorides' numeric
@attribute '-0.599volatile acidity+0.483citric acid+0.441sulphates+0.282free sulfur dioxide-0.201residual sugar+0.145pH-0.14chlorides+0.123total sulfur dioxide-0.113density+0.113fixed acidity+0.109alcohol' numeric
@attribute '-0.661chlorides-0.505sulphates+0.318free sulfur dioxide-0.283volatile acidity+0.267residual sugar-0.151citric acid+0.129alcohol-0.107pH+0.051total sulfur dioxide-0.051fixed acidity+0.013density' numeric
@attribute '0.625volatile acidity+0.379total sulfur dioxide+0.368alcohol+0.363free sulfur dioxide+0.206fixed acidity-0.204density+0.184sulphates-0.181chlorides-0.179pH-0.097residual sugar+0.081citric acid' numeric
@attribute '-0.563sulphates+0.54 chlorides+0.364free sulfur dioxide-0.289residual sugar-0.265density-0.183fixed acidity+0.163citric acid+0.152total sulfur dioxide-0.113volatile acidity-0.097pH+0.021alcohol' numeric
@attribute '0.703citric acid+0.439pH+0.291volatile acidity-0.277sulphates+0.209residual sugar-0.186free sulfur dioxide-0.182fixed acidity-0.118chlorides+0.113density+0.104alcohol-0.055total sulfur dioxide' numeric
@attribute '0.608fixed acidity+0.533pH-0.373residual sugar-0.272sulphates+0.223total sulfur dioxide-0.18citric acid-0.174alcohol-0.09chlorides+0.082density-0.075free sulfur dioxide+0.008volatile acidity' numeric
@attribute '0.629alcohol+0.448residual sugar+0.389chlorides+0.302fixed acidity+0.253pH-0.176citric acid-0.156total sulfur dioxide-0.141volatile acidity+0.121free sulfur dioxide+0.08 density-0sulphates' numeric
@attribute quality {'not good',good}

@data
0.623611,-0.839801,1.0398,-0.183245,-0.303964,-0.221179,1.394741,0.31756,-0.654513,good
-0.266242,0.054321,-0.472974,-0.041698,-0.957793,-0.684849,-1.911237,-0.984817,-0.375407,good
-0.160708,-0.862995,1.563814,-1.322945,-0.542452,-0.442714,0.582336,1.274985,0.167508,good
-1.418966,-1.669961,1.115927,0.822213,0.045088,1.482497,0.40626,0.33687,0.354147,good
2.727134,-0.738158,0.540123,0.624595,0.604807,-1.126743,0.14742,-0.441976,-0.036065,good
-0.823812,-1.417455,0.513178,-0.069771,-1.033446,0.49254,-0.045972,-0.018674,-0.623265,good
-0.397196,1.366848,-1.710643,0.371316,-1.870201,-1.335467,0.712819,-0.51395,1.392322,good
-2.84383,0.193422,0.236374,1.18631,-0.569841,0.805798,0.903286,0.024699,-0.529849,good
-1.481978,-0.536711,-0.184879,1.390639,0.375168,0.662554,-0.589965,0.396601,-0.042082,good
1.596183,-0.683841,0.310722,0.374411,1.016317,0.677031,0.102939,-0.374373,-0.543591,good
3.264411,-0.490632,0.796654,0.510835,1.312622,-0.205635,-0.300418,-0.413277,-0.03345,good
1.75242,-0.110497,0.928013,0.272797,0.335994,0.780348,0.83888,-0.268077,-0.759732,good
-1.28206,-0.295317,0.578244,0.719644,-0.64506,0.642544,-0.05655,-0.167404,0.195398,good
1.191407,0.534748,-1.715437,0.859174,-0.864081,-0.361204,0.736072,1.346481,0.225131,good
-0.368414,-0.028455,-0.168348,-0.477049,-1.538913,-0.030172,-1.114809,-0.27502,-0.908277,good
-2.290488,0.256363,-0.157408,-0.598442,0.86512,0.309138,-0.241746,-0.630619,0.481909,good
2.150558,-0.035119,-1.143717,0.908587,-1.639179,-0.9136,-0.46637,-0.884425,0.303334,good
-1.89546,0.997616,1.374659,-0.159514,0.150071,-0.74472,-0.536873,-0.145532,0.105022,good
0.95767,1.747022,-0.065426,1.425382,1.268871,0.69353,0.554772,0.049551,1.369088,good
0.074487,2.891534,1.453856,-0.687191,-0.603997,-0.675766,-0.213765,1.360474,0.065316,'not good'
0.888496,-0.252003,-0.934066,-0.248277,-2.150543,-1.334438,0.016955,-0.860483,0.439006,good
1.42507,1.175002,-0.116426,1.156405,-1.294577,-0.586299,0.030688,-2.161762,-0.668552,'not good'
-2.653923,0.64579,-0.287878,-0.013566,-0.720973,0.460745,-0.052861,-1.512833,-0.59551,good
0.909958,-0.507444,0.162324,1.171767,-0.213363,0.767042,0.228794,-0.376192,0.917424,'not good'
2.402903,-1.126317,-0.945932,-0.063372,0.01074,-0.403819,0.231948,0.123403,-1.076353,'not good'
-1.663877,0.540798,0.373433,0.383827,-2.054299,-0.431766,0.393361,1.333763,-0.379447,'not good'
-1.49844,-0.699351,-0.399478,-0.389275,0.530194,0.23289,-0.026825,-0.169208,0.932785,good
-0.648586,-0.329606,0.217452,-0.882155,0.334943,-0.216026,-0.406418,1.049849,0.031518,good
0.311127,-1.776783,0.04547,-0.125585,-0.451489,-0.873574,-0.282201,0.58078,-0.020116,good
-0.986054,-1.390736,-1.704117,-1.178864,-0.817631,-0.310982,-1.553093,0.499781,-0.656452,'not good'
-0.332488,-0.469852,-1.772752,-0.031004,-0.006975,0.520779,0.22926,0.633227,-0.431616,'not good'
1.121866,0.834105,-1.407595,-0.025326,1.104534,0.117469,-0.44762,0.352916,0.656953,good
0.015935,-0.124778,0.619293,-0.073873,2.117554,0.92688,-0.874243,-0.457487,-0.250939,good
-1.748887,0.536255,-0.328654,-0.538568,1.318373,-1.187315,-0.194593,0.237326,0.835403,good
-1.016761,-0.181617,0.228346,-0.607272,0.832803,-0.316972,-0.51508,0.441247,-0.1754,'not good'
-1.979309,-1.55532,0.54508,0.883608,1.304558,0.98814,0.465661,0.370179,0.44966,good
1.356565,1.955407,0.613419,1.50867,0.496545,0.821371,0.36858,0.340088,0.323005,good
3.067214,-0.623875,0.252156,0.264469,1.342661,-1.090001,-1.192046,-0.251197,-0.10672,'not good'
-0.51167,-1.395917,-0.941934,-1.144555,1.958749,-0.029396,-0.050279,0.488558,-0.694645,'not good'
-0.745372,-0.4839,1.626311,-0.576322,-0.327704,-0.521398,-0.397488,0.826721,-0.257827,'not good'
-0.428759,-0.820597,-4.092073,-0.031151,1.460896,-1.993283,-0.43138,-0.474215,0.542377,good
-0.531083,1.089113,2.12941,-1.369003,-0.335541,-1.140918,-0.829538,-0.241469,-0.446557,good
2.252061,0.089837,0.222211,0.573047,1.044015,1.186485,0.620082,0.112706,-1.192665,good
0.367731,0.683179,0.223209,0.322161,1.618053,0.421306,-1.036083,0.801545,-0.709991,'not good'
-0.409406,2.299802,0.162989,1.176463,1.327624,-0.409687,-1.913419,0.155763,0.461792,'not good'
1.121866,0.834105,-1.407595,-0.025326,1.104534,0.117469,-0.44762,0.352916,0.656953,good
-1.599328,-0.471904,-1.023035,-0.341524,-0.558096,1.333845,0.19381,0.038482,-0.273211,good
-1.513938,-1.825911,-0.765287,0.931722,0.397636,0.341836,0.987155,-0.350317,-0.044991,good
0.072983,0.095313,-0.069525,1.36539,0.155265,0.359503,0.574287,0.143875,0.636402,good
1.353992,-1.18352,1.273139,-1.008358,-0.19429,-1.697616,0.416221,0.723229,0.775131,'not good'
0.510293,-0.153041,-0.741951,-1.609491,-0.848345,1.274104,-1.105522,-0.046606,0.423628,good
2.434025,2.137478,0.909439,0.622791,0.673785,0.789233,1.073575,-0.581194,-1.497648,good
-2.093051,3.179207,-0.493043,-0.151009,-1.320149,-0.263128,-0.445043,0.860198,-0.062801,'not good'
-0.819745,-0.440303,0.784863,-1.108365,-0.639888,-1.65863,-0.303821,0.78632,-0.211678,good
0.142457,2.659234,0.153911,-0.293576,0.07153,0.216264,-0.654302,0.715828,-0.364133,'not good'
