Episode, Steps, Reward, Time (in milliseconds)
1, 25, -2.400000000000001, 67
2, 25, -2.400000000000001, 23
3, 25, -2.400000000000001, 27
4, 25, -2.400000000000001, 20
5, 25, -2.400000000000001, 40
6, 25, -2.400000000000001, 48
7, 25, -2.400000000000001, 46
8, 25, -2.400000000000001, 41
9, 25, -2.400000000000001, 28
10, 25, -2.400000000000001, 34
11, 25, -2.400000000000001, 17
12, 5, -0.4, 28
13, 15, -1.4000000000000001, 49
14, 25, -2.400000000000001, 42
15, 25, -2.400000000000001, 23
16, 25, -12.199999999999992, 36
17, 25, -2.400000000000001, 21
18, 25, -2.400000000000001, 17
19, 25, -2.400000000000001, 69
20, 25, -2.400000000000001, 33
21, 9, -0.7999999999999999, 35
22, 25, -2.400000000000001, 37
23, 25, -2.400000000000001, 64
24, 21, -2.0000000000000004, 27
25, 25, -2.400000000000001, 42
26, 25, -2.400000000000001, 94
27, 7, -0.6, 38
28, 25, -2.400000000000001, 87
29, 25, -2.400000000000001, 56
30, 8, -0.7, 31
31, 25, -2.400000000000001, 22
32, 17, -1.6000000000000003, 42
33, 25, -2.400000000000001, 35
34, 7, -5.499999999999999, 15
35, 22, -2.1000000000000005, 66
36, 25, -2.400000000000001, 21
37, 17, -1.6000000000000003, 69
38, 9, -0.7999999999999999, 44
39, 9, -0.7999999999999999, 13
40, 6, -0.5, 30
41, 5, -0.4, 48
42, 22, -2.1000000000000005, 119
43, 25, -2.400000000000001, 21
44, 5, -0.4, 45
45, 17, -6.499999999999999, 40
46, 18, -1.7000000000000004, 90
47, 25, -2.400000000000001, 58
48, 19, -1.8000000000000005, 48
49, 14, -1.3, 36
50, 15, -1.4000000000000001, 105
51, 25, -2.400000000000001, 70
52, 25, -2.400000000000001, 79
53, 25, -2.400000000000001, 87
54, 15, -1.4000000000000001, 109
55, 16, -1.5000000000000002, 123
56, 22, -2.1000000000000005, 48
57, 8, -0.7, 65
58, 14, -1.3, 42
59, 21, -2.0000000000000004, 44
60, 25, -2.400000000000001, 25
61, 5, -0.4, 28
62, 21, -2.0000000000000004, 28
63, 25, -2.400000000000001, 36
64, 21, -2.0000000000000004, 28
65, 16, -1.5000000000000002, 28
66, 15, -1.4000000000000001, 27
67, 17, -1.6000000000000003, 33
68, 13, -1.2, 30
69, 16, -1.5000000000000002, 25
70, 25, -2.400000000000001, 45
71, 17, -1.6000000000000003, 48
72, 25, -2.400000000000001, 65
73, 25, -2.400000000000001, 30
74, 7, -0.6, 26
75, 25, -2.400000000000001, 36
76, 25, -2.400000000000001, 34
77, 25, -2.400000000000001, 38
78, 19, -1.8000000000000005, 34
79, 13, -1.2, 31
80, 19, -1.8000000000000005, 33
81, 21, -2.0000000000000004, 57
82, 16, -1.5000000000000002, 56
83, 19, -1.8000000000000005, 31
84, 16, -1.5000000000000002, 29
85, 15, -1.4000000000000001, 27
86, 25, -2.400000000000001, 22
87, 20, -1.9000000000000006, 53
88, 15, -1.4000000000000001, 33
89, 15, -1.4000000000000001, 38
90, 22, -2.1000000000000005, 33
91, 19, -1.8000000000000005, 35
92, 25, -2.400000000000001, 44
93, 15, -1.4000000000000001, 44
94, 16, -1.5000000000000002, 39
95, 13, -1.2, 32
96, 17, -1.6000000000000003, 47
97, 16, -1.5000000000000002, 69
98, 25, -2.400000000000001, 49
99, 25, -2.400000000000001, 35
100, 19, -1.8000000000000005, 36
101, 25, -2.400000000000001, 69
102, 25, -2.400000000000001, 38
103, 7, -5.499999999999999, 30
104, 14, -1.3, 25
105, 5, -0.4, 20
106, 7, -0.6, 27
107, 16, -1.5000000000000002, 53
108, 15, -30.800000000000004, 64
109, 22, -16.80000000000001, 29
110, 17, -1.6000000000000003, 33
111, 16, -1.5000000000000002, 46
112, 18, -1.7000000000000004, 43
113, 16, -1.5000000000000002, 50
114, 25, -2.400000000000001, 26
115, 14, -1.3, 31
116, 6, -0.5, 20
117, 23, -2.2000000000000006, 38
118, 14, -1.3, 50
119, 23, -2.2000000000000006, 49
120, 16, -1.5000000000000002, 33
121, 15, -1.4000000000000001, 37
122, 8, -0.7, 31
123, 21, -2.0000000000000004, 50
124, 17, -1.6000000000000003, 50
125, 14, -1.3, 28
126, 21, -2.0000000000000004, 32
127, 5, -0.4, 21
128, 7, -0.6, 50
129, 25, -2.400000000000001, 40
130, 25, -2.400000000000001, 41
131, 16, -1.5000000000000002, 32
132, 16, -1.5000000000000002, 41
133, 16, -1.5000000000000002, 79
134, 19, -1.8000000000000005, 40
135, 20, -1.9000000000000006, 23
136, 15, -1.4000000000000001, 31
137, 14, -1.3, 28
138, 15, -1.4000000000000001, 95
139, 18, -1.7000000000000004, 44
140, 7, -0.6, 28
141, 23, -2.2000000000000006, 37
142, 13, -1.2, 58
143, 25, -7.299999999999994, 45
144, 17, -1.6000000000000003, 44
145, 5, -0.4, 32
146, 18, -1.7000000000000004, 68
147, 16, -1.5000000000000002, 56
148, 25, -2.400000000000001, 37
149, 14, -1.3, 38
150, 18, -1.7000000000000004, 48
151, 19, -1.8000000000000005, 48
152, 15, -1.4000000000000001, 55
153, 15, -1.4000000000000001, 38
154, 15, -1.4000000000000001, 39
155, 16, -1.5000000000000002, 59
156, 13, -1.2, 40
157, 17, -1.6000000000000003, 35
158, 25, -2.400000000000001, 36
159, 16, -1.5000000000000002, 41
160, 16, -1.5000000000000002, 68
161, 13, -1.2, 49
162, 5, -0.4, 25
163, 15, -1.4000000000000001, 57
164, 25, -2.400000000000001, 68
165, 17, -1.6000000000000003, 52
166, 20, -1.9000000000000006, 39
167, 19, -1.8000000000000005, 55
168, 15, -1.4000000000000001, 65
169, 15, -1.4000000000000001, 47
170, 25, -2.400000000000001, 31
171, 9, -0.7999999999999999, 39
172, 20, -1.9000000000000006, 43
173, 18, -1.7000000000000004, 31
174, 25, -2.400000000000001, 25
175, 25, -2.400000000000001, 33
176, 15, -1.4000000000000001, 44
177, 14, -1.3, 88
178, 22, -2.1000000000000005, 101
179, 16, -1.5000000000000002, 29
180, 21, -2.0000000000000004, 53
181, 5, -0.4, 39
182, 15, -1.4000000000000001, 46
183, 22, -2.1000000000000005, 32
184, 17, -1.6000000000000003, 31
185, 21, -2.0000000000000004, 44
186, 19, -1.8000000000000005, 49
187, 18, -1.7000000000000004, 39
188, 20, -1.9000000000000006, 27
189, 21, -2.0000000000000004, 30
190, 15, -1.4000000000000001, 50
191, 18, -1.7000000000000004, 43
192, 20, -1.9000000000000006, 42
193, 16, -1.5000000000000002, 41
194, 14, -1.3, 66
195, 18, -1.7000000000000004, 39
196, 17, -1.6000000000000003, 40
197, 18, -1.7000000000000004, 37
198, 16, -1.5000000000000002, 34
199, 24, -2.3000000000000007, 15
200, 25, -2.400000000000001, 31
201, 23, -2.2000000000000006, 28
202, 17, -1.6000000000000003, 24
203, 15, -1.4000000000000001, 24
204, 15, -1.4000000000000001, 27
205, 25, -2.400000000000001, 25
206, 21, -2.0000000000000004, 22
207, 20, -1.9000000000000006, 21
208, 16, -1.5000000000000002, 39
209, 19, -1.8000000000000005, 25
210, 14, -1.3, 21
211, 25, -2.400000000000001, 22
212, 25, -2.400000000000001, 32
213, 13, -1.2, 22
214, 18, -1.7000000000000004, 22
215, 15, -1.4000000000000001, 22
216, 18, -1.7000000000000004, 30
217, 14, -1.3, 36
218, 17, -1.6000000000000003, 23
219, 25, -2.400000000000001, 23
220, 13, -1.2, 27
221, 13, -1.2, 20
222, 16, -1.5000000000000002, 31
223, 14, -1.3, 19
224, 18, -1.7000000000000004, 27
225, 14, -1.3, 27
226, 19, -1.8000000000000005, 32
227, 19, -1.8000000000000005, 36
228, 15, -1.4000000000000001, 22
229, 18, -1.7000000000000004, 20
230, 25, -2.400000000000001, 22
231, 25, -2.400000000000001, 23
232, 17, -1.6000000000000003, 34
233, 6, -0.5, 32
234, 20, -1.9000000000000006, 37
235, 9, -5.699999999999999, 32
236, 17, -1.6000000000000003, 25
237, 15, -1.4000000000000001, 35
238, 25, -2.400000000000001, 31
239, 7, -5.499999999999999, 27
240, 20, -1.9000000000000006, 25
241, 5, -0.4, 25
242, 19, -1.8000000000000005, 30
243, 18, -1.7000000000000004, 25
244, 16, -1.5000000000000002, 25
245, 5, -0.4, 32
246, 25, -2.400000000000001, 26
247, 25, -2.400000000000001, 21
248, 24, -2.3000000000000007, 30
249, 18, -1.7000000000000004, 25
250, 21, -2.0000000000000004, 22
251, 17, -1.6000000000000003, 23
252, 8, -0.7, 21
253, 16, -1.5000000000000002, 31
254, 18, -1.7000000000000004, 30
255, 20, -1.9000000000000006, 38
256, 18, -1.7000000000000004, 33
257, 25, -2.400000000000001, 22
258, 10, -0.8999999999999999, 19
259, 25, -2.400000000000001, 26
260, 14, -1.3, 29
261, 18, -1.7000000000000004, 43
262, 19, -1.8000000000000005, 34
263, 19, -1.8000000000000005, 32
264, 21, -2.0000000000000004, 25
265, 18, -1.7000000000000004, 27
266, 17, -1.6000000000000003, 29
267, 18, -1.7000000000000004, 42
268, 25, -2.400000000000001, 31
269, 15, -1.4000000000000001, 36
270, 16, -1.5000000000000002, 26
271, 25, -2.400000000000001, 34
272, 15, -1.4000000000000001, 35
273, 12, -1.0999999999999999, 36
274, 25, -2.400000000000001, 25
275, 22, -2.1000000000000005, 39
276, 13, -1.2, 31
277, 18, -1.7000000000000004, 22
278, 21, -2.0000000000000004, 22
279, 21, -2.0000000000000004, 27
280, 25, -2.400000000000001, 34
281, 15, -1.4000000000000001, 34
282, 23, -2.2000000000000006, 33
283, 25, -2.400000000000001, 26
284, 14, -1.3, 26
285, 18, -1.7000000000000004, 31
286, 18, -1.7000000000000004, 48
287, 20, -1.9000000000000006, 36
288, 25, -2.400000000000001, 35
289, 20, -1.9000000000000006, 28
290, 19, -1.8000000000000005, 25
291, 17, -1.6000000000000003, 26
292, 25, -2.400000000000001, 45
293, 22, -2.1000000000000005, 36
294, 25, -2.400000000000001, 40
295, 19, -1.8000000000000005, 30
296, 16, -1.5000000000000002, 26
297, 21, -2.0000000000000004, 26
298, 7, -5.499999999999999, 33
299, 5, -0.4, 35
300, 25, -2.400000000000001, 49
301, 21, -2.0000000000000004, 29
302, 17, -1.6000000000000003, 37
303, 25, -2.400000000000001, 28
304, 17, -1.6000000000000003, 41
305, 17, -1.6000000000000003, 40
306, 17, -1.6000000000000003, 38
307, 17, -1.6000000000000003, 30
308, 25, -2.400000000000001, 28
309, 17, -1.6000000000000003, 31
310, 25, -2.400000000000001, 34
311, 25, -2.400000000000001, 38
312, 18, -1.7000000000000004, 41
313, 15, -1.4000000000000001, 30
314, 23, -2.2000000000000006, 19
315, 14, -1.3, 25
316, 18, -1.7000000000000004, 38
317, 15, -1.4000000000000001, 44
318, 15, -1.4000000000000001, 41
319, 20, -1.9000000000000006, 30
320, 13, -1.2, 35
321, 18, -1.7000000000000004, 38
322, 24, -2.3000000000000007, 31
323, 25, -2.400000000000001, 35
324, 25, -2.400000000000001, 37
325, 6, -0.5, 31
326, 15, -1.4000000000000001, 31
327, 13, -1.2, 35
328, 14, -1.3, 37
329, 16, -1.5000000000000002, 36
330, 17, -1.6000000000000003, 39
331, 17, -1.6000000000000003, 34
332, 14, -1.3, 29
333, 16, -1.5000000000000002, 40
334, 20, -1.9000000000000006, 40
335, 25, -2.400000000000001, 43
336, 13, -1.2, 33
337, 20, -1.9000000000000006, 26
338, 17, -1.6000000000000003, 36
339, 15, -1.4000000000000001, 42
340, 19, -1.8000000000000005, 40
341, 14, -1.3, 36
342, 25, -2.400000000000001, 31
343, 25, -2.400000000000001, 33
344, 16, -1.5000000000000002, 56
345, 14, -1.3, 48
346, 25, -2.400000000000001, 35
347, 14, -1.3, 29
348, 19, -1.8000000000000005, 35
