Episode, Steps, Reward, Time (in milliseconds)
1, 729, -91.69999999999983, 449
2, 729, -75.50000000000001, 614
3, 729, -79.9999999999997, 671
4, 729, -109.99999999999866, 557
5, 729, -72.80000000000014, 554
6, 729, -75.49999999999999, 658
7, 729, -72.80000000000014, 253
8, 729, -105.19999999999793, 401
9, 729, -160.99999999999787, 488
10, 729, -73.70000000000007, 586
11, 729, -140.39999999999827, 317
12, 729, -75.50000000000013, 301
13, 729, -72.80000000000014, 598
14, 729, -102.79999999999905, 350
15, 729, -159.19999999999735, 321
16, 729, -173.59999999999891, 346
17, 706, -97.29999999999842, 387
18, 729, -85.09999999999926, 442
19, 729, -72.80000000000014, 345
20, 729, -72.80000000000014, 791
21, 729, -82.69999999999949, 367
22, 729, -148.39999999999776, 700
23, 729, -72.80000000000014, 571
24, 729, -78.19999999999975, 598
25, 729, -106.99999999999926, 613
26, 729, -90.79999999999914, 568
27, 729, -72.80000000000014, 453
28, 729, -87.29999999999922, 518
29, 729, -74.60000000000004, 565
30, 729, -73.70000000000009, 507
31, 729, -100.29999999999822, 635
32, 729, -89.49999999999915, 387
33, 729, -78.19999999999976, 606
34, 729, -72.80000000000014, 612
35, 729, -160.999999999997, 765
36, 729, -72.80000000000014, 443
37, 711, -101.29999999999825, 482
38, 729, -72.80000000000014, 438
39, 729, -104.39999999999827, 609
40, 729, -143.89999999999847, 475
41, 729, -123.19999999999901, 463
42, 729, -72.80000000000014, 506
43, 729, -83.59999999999998, 563
44, 729, -114.09999999999864, 624
45, 729, -120.49999999999925, 698
46, 659, -77.49999999999969, 527
47, 729, -73.70000000000007, 573
48, 729, -85.39999999999961, 548
49, 552, -83.39999999999947, 579
50, 729, -178.09999999999775, 592
51, 729, -74.60000000000015, 580
52, 729, -102.49999999999905, 739
53, 484, -65.60000000000045, 508
54, 729, -99.39999999999904, 589
55, 490, -94.2999999999987, 675
56, 729, -72.80000000000014, 529
57, 729, -116.89999999999802, 583
58, 729, -112.49999999999831, 681
59, 729, -92.79999999999869, 710
60, 729, -162.79999999999737, 677
61, 729, -76.40000000000003, 700
62, 729, -226.69999999999803, 830
63, 729, -72.80000000000014, 588
64, 729, -80.89999999999964, 743
65, 729, -72.80000000000014, 610
66, 729, -86.29999999999968, 793
67, 729, -232.09999999999746, 643
68, 598, -72.29999999999997, 697
69, 298, -32.60000000000015, 916
70, 729, -79.09999999999968, 662
71, 729, -196.99999999999943, 708
72, 729, -78.19999999999979, 714
73, 729, -79.99999999999963, 990
74, 295, -61.20000000000023, 750
75, 729, -76.59999999999987, 618
76, 420, -118.99999999999883, 632
77, 363, -52.1000000000003, 653
78, 346, -39.90000000000028, 737
79, 729, -97.09999999999884, 826
80, 729, -72.80000000000014, 780
81, 729, -98.69999999999928, 646
82, 729, -74.60000000000001, 691
83, 606, -70.10000000000015, 674
84, 729, -72.80000000000014, 728
85, 601, -88.29999999999924, 766
86, 729, -72.80000000000014, 877
87, 729, -79.29999999999977, 729
88, 729, -72.80000000000014, 712
89, 160, -27.600000000000126, 682
90, 729, -83.59999999999957, 683
91, 729, -88.99999999999896, 669
92, 729, -100.69999999999881, 833
93, 729, -169.99999999999858, 782
94, 256, -42.800000000000225, 786
95, 729, -72.80000000000014, 784
96, 729, -81.79999999999949, 984
97, 729, -72.80000000000014, 977
98, 729, -422.3000000000044, 708
99, 729, -91.69999999999905, 731
100, 729, -113.29999999999858, 791
101, 729, -88.99999999999932, 704
102, 729, -72.80000000000014, 720
103, 729, -81.79999999999949, 895
104, 620, -118.39999999999951, 744
105, 729, -127.69999999999945, 749
106, 729, -73.70000000000007, 794
107, 527, -71.60000000000004, 926
108, 729, -148.39999999999796, 703
109, 626, -70.60000000000018, 775
110, 729, -135.7999999999986, 971
111, 466, -49.40000000000039, 692
112, 729, -164.5999999999981, 855
113, 729, -75.49999999999994, 787
114, 729, -90.29999999999923, 714
115, 729, -102.49999999999804, 646
116, 729, -76.39999999999989, 692
117, 729, -98.29999999999937, 661
118, 729, -72.80000000000014, 704
119, 729, -107.09999999999889, 704
120, 568, -88.19999999999898, 837
121, 406, -49.0000000000003, 751
122, 729, -72.80000000000014, 893
123, 633, -97.6999999999995, 895
124, 729, -72.80000000000014, 709
125, 729, -88.0999999999991, 701
126, 729, -380.60000000000355, 842
127, 729, -72.80000000000014, 740
128, 729, -128.5999999999993, 860
129, 729, -79.09999999999974, 939
130, 583, -59.100000000000556, 742
131, 729, -87.19999999999952, 861
132, 246, -24.500000000000078, 942
133, 729, -77.29999999999986, 787
134, 729, -73.70000000000007, 683
135, 508, -56.10000000000047, 811
136, 272, -57.30000000000018, 750
137, 259, -69.99999999999974, 776
138, 729, -169.9999999999978, 833
139, 729, -72.80000000000014, 723
140, 729, -83.59999999999935, 763
141, 729, -72.80000000000014, 787
142, 729, -72.80000000000014, 793
143, 305, -30.400000000000162, 684
144, 310, -56.30000000000023, 947
145, 729, -72.80000000000014, 711
146, 729, -93.49999999999892, 673
147, 337, -35.50000000000024, 790
148, 679, -77.89999999999992, 892
149, 232, -26.700000000000106, 822
150, 523, -109.09999999999984, 783
151, 729, -92.59999999999974, 762
152, 729, -72.80000000000014, 881
153, 344, -34.30000000000022, 880
154, 729, -72.80000000000014, 804
155, 729, -110.29999999999927, 900
156, 729, -79.99999999999966, 876
157, 729, -72.80000000000014, 1005
158, 167, -22.400000000000013, 828
159, 729, -104.29999999999876, 793
160, 729, -195.9999999999979, 862
161, 729, -78.19999999999983, 955
162, 729, -107.19999999999898, 916
163, 356, -35.500000000000234, 1047
164, 470, -131.09999999999857, 801
165, 729, -94.49999999999922, 811
166, 729, -76.40000000000002, 901
167, 275, -65.20000000000007, 851
168, 729, -85.39999999999951, 864
169, 501, -52.700000000000436, 1004
170, 350, -52.400000000000254, 942
171, 143, -14.199999999999966, 856
172, 341, -61.00000000000024, 838
173, 729, -72.80000000000014, 761
174, 370, -121.59999999999934, 919
175, 107, -12.399999999999975, 994
176, 361, -66.90000000000009, 906
177, 309, -36.200000000000244, 1002
178, 729, -88.49999999999969, 900
179, 103, -11.09999999999998, 960
180, 729, -72.80000000000014, 825
181, 729, -80.8999999999998, 861
182, 151, -16.799999999999976, 794
183, 118, -11.699999999999974, 917
184, 729, -194.89999999999904, 783
185, 575, -68.30000000000032, 898
186, 729, -72.80000000000014, 837
187, 729, -72.80000000000014, 768
188, 256, -29.100000000000158, 828
189, 151, -14.999999999999963, 887
190, 661, -66.00000000000053, 911
191, 729, -72.80000000000014, 900
192, 499, -81.69999999999972, 796
193, 339, -41.00000000000026, 1040
194, 729, -157.39999999999824, 1081
195, 729, -94.39999999999897, 1106
196, 220, -21.90000000000004, 934
197, 303, -77.69999999999948, 973
198, 729, -251.0999999999983, 1476
199, 223, -24.90000000000009, 1479
200, 175, -23.700000000000056, 1368
201, 208, -50.40000000000015, 1760
202, 185, -20.200000000000024, 1548
203, 451, -47.70000000000038, 1260
204, 256, -66.00000000000004, 1118
205, 528, -145.69999999999894, 1116
206, 148, -18.5, 1146
207, 267, -30.400000000000176, 1363
208, 176, -23.100000000000026, 1808
209, 301, -30.000000000000156, 1426
210, 729, -77.29999999999988, 1074
211, 273, -32.600000000000215, 1366
212, 159, -15.79999999999996, 1150
213, 356, -46.90000000000026, 1292
214, 547, -88.79999999999897, 2150
215, 729, -72.80000000000014, 1602
216, 87, -8.599999999999985, 1271
217, 729, -74.60000000000004, 1136
218, 729, -73.70000000000009, 1256
219, 364, -41.800000000000274, 1345
220, 82, -8.099999999999987, 1485
221, 240, -30.20000000000018, 2036
222, 729, -92.59999999999907, 1240
223, 549, -78.19999999999976, 1282
224, 99, -10.69999999999998, 1303
225, 476, -51.3000000000004, 964
226, 582, -87.79999999999897, 1009
227, 230, -23.80000000000007, 1077
228, 729, -72.80000000000014, 958
229, 383, -48.100000000000385, 1130
230, 148, -28.000000000000053, 1082
231, 729, -118.69999999999888, 1416
232, 725, -111.9999999999985, 1433
233, 304, -33.90000000000019, 1477
234, 583, -88.79999999999971, 1527
235, 157, -15.59999999999996, 1302
236, 467, -66.3000000000003, 1794
237, 81, -9.799999999999986, 1651
238, 230, -26.600000000000087, 1199
239, 568, -81.19999999999973, 1141
240, 136, -17.29999999999999, 1327
241, 80, -7.899999999999988, 1048
242, 122, -20.20000000000005, 1578
243, 729, -118.99999999999847, 1285
244, 729, -93.49999999999895, 969
245, 399, -42.50000000000029, 1759
246, 436, -44.40000000000035, 1699
247, 191, -35.500000000000135, 988
248, 283, -32.00000000000014, 972
249, 154, -37.80000000000014, 1070
250, 157, -22.800000000000075, 1033
251, 430, -104.69999999999933, 1105
252, 94, -10.199999999999983, 1128
253, 165, -18.19999999999999, 1280
254, 78, -7.699999999999989, 1335
255, 68, -6.699999999999992, 1238
256, 672, -77.8999999999997, 891
257, 411, -41.00000000000031, 1316
258, 312, -32.000000000000185, 1114
259, 122, -12.099999999999973, 1095
260, 729, -72.80000000000014, 1096
261, 729, -79.99999999999974, 1057
262, 110, -13.799999999999978, 1011
263, 611, -70.90000000000009, 1065
264, 628, -81.99999999999962, 1068
265, 151, -17.799999999999994, 1167
266, 236, -73.89999999999966, 1098
267, 139, -25.400000000000038, 1144
268, 172, -18.900000000000006, 1147
269, 119, -11.799999999999974, 1110
