Episode, Steps, Reward, Time (in milliseconds)
1, 729, -119.59999999999799, 521
2, 729, -183.4999999999982, 705
3, 729, -154.69999999999766, 1261
4, 729, -111.59999999999862, 329
5, 729, -185.29999999999785, 1339
6, 729, -88.09999999999937, 665
7, 729, -72.80000000000014, 1142
8, 729, -223.99999999999818, 458
9, 729, -160.09999999999812, 221
10, 729, -624.500000000001, 414
11, 729, -97.99999999999932, 436
12, 729, -166.3999999999989, 403
13, 729, -201.4999999999979, 493
14, 729, -72.80000000000014, 478
15, 729, -72.80000000000014, 611
16, 729, -72.80000000000014, 507
17, 729, -72.80000000000014, 507
18, 729, -76.39999999999989, 372
19, 729, -110.60000000000002, 633
20, 729, -138.4999999999985, 537
21, 729, -112.39999999999776, 499
22, 729, -72.80000000000014, 584
23, 729, -136.6999999999987, 469
24, 729, -90.79999999999919, 611
25, 729, -173.59999999999692, 495
26, 729, -79.0999999999997, 563
27, 729, -104.29999999999887, 714
28, 729, -73.70000000000007, 653
29, 729, -79.09999999999997, 580
30, 729, -134.8999999999985, 757
31, 729, -159.19999999999794, 748
32, 729, -102.59999999999934, 637
33, 729, -123.5999999999979, 774
34, 729, -96.799999999999, 903
35, 729, -75.69999999999993, 723
36, 729, -98.89999999999917, 654
37, 729, -72.80000000000014, 888
38, 729, -118.69999999999975, 763
39, 729, -278.6999999999988, 640
40, 729, -128.09999999999738, 767
41, 729, -72.80000000000014, 660
42, 729, -111.69999999999845, 641
43, 729, -165.99999999999818, 657
44, 729, -95.50000000000007, 661
45, 729, -97.09999999999914, 686
46, 729, -128.59999999999857, 717
47, 729, -128.99999999999727, 787
48, 729, -105.19999999999864, 1026
49, 729, -108.7999999999986, 813
50, 729, -203.99999999999926, 856
51, 729, -82.29999999999974, 921
52, 729, -87.19999999999911, 726
53, 729, -73.70000000000007, 806
54, 729, -76.3999999999999, 839
55, 729, -98.89999999999841, 1009
56, 729, -76.40000000000002, 951
57, 729, -102.59999999999937, 1174
58, 729, -97.99999999999886, 1042
59, 729, -207.599999999999, 1152
60, 729, -90.79999999999961, 906
61, 729, -72.80000000000014, 968
62, 729, -78.19999999999997, 1001
63, 729, -107.89999999999947, 1072
64, 729, -74.60000000000004, 1093
65, 729, -74.60000000000001, 994
66, 729, -95.99999999999933, 1199
67, 729, -84.39999999999995, 1185
68, 729, -87.19999999999942, 1108
69, 729, -124.0999999999984, 1163
70, 729, -75.49999999999994, 1010
71, 729, -75.49999999999994, 1258
72, 729, -82.70000000000006, 1537
73, 729, -208.99999999999875, 1395
74, 729, -72.80000000000014, 1085
75, 729, -124.2999999999987, 1218
76, 729, -158.39999999999822, 1154
77, 729, -165.4999999999981, 984
78, 729, -72.80000000000014, 926
79, 729, -81.79999999999977, 982
80, 248, -24.70000000000008, 1023
81, 729, -102.49999999999874, 1075
82, 729, -104.2999999999985, 1005
83, 729, -72.80000000000014, 1116
84, 729, -106.0999999999987, 1026
85, 729, -83.89999999999978, 1165
86, 729, -100.69999999999858, 1634
87, 729, -76.3999999999999, 1093
88, 729, -119.79999999999751, 1401
89, 729, -117.89999999999833, 1289
90, 729, -158.9999999999973, 1201
91, 729, -106.99999999999915, 1186
92, 729, -80.89999999999966, 1224
93, 729, -133.09999999999806, 1147
94, 729, -165.59999999999803, 1412
95, 729, -119.59999999999819, 1531
96, 729, -78.50000000000016, 1377
97, 729, -77.49999999999987, 1324
98, 729, -72.80000000000014, 1357
99, 729, -117.79999999999936, 1260
100, 729, -101.59999999999835, 1425
101, 729, -135.79999999999885, 1025
102, 729, -83.5999999999994, 1246
103, 729, -77.29999999999981, 967
104, 729, -76.39999999999993, 916
105, 729, -103.19999999999938, 1046
106, 729, -73.70000000000007, 1284
107, 729, -114.1999999999983, 1260
108, 729, -88.09999999999907, 1174
109, 729, -78.19999999999982, 1266
110, 729, -84.49999999999929, 1149
111, 729, -72.80000000000014, 1163
112, 729, -159.199999999999, 1335
113, 729, -90.59999999999987, 1319
114, 729, -115.09999999999938, 1277
115, 729, -95.39999999999898, 1238
116, 729, -124.99999999999835, 1338
117, 729, -100.99999999999942, 1233
118, 729, -79.99999999999969, 1379
119, 729, -107.19999999999867, 1257
120, 729, -96.1999999999994, 1424
121, 729, -105.09999999999857, 1733
122, 729, -140.79999999999723, 1275
123, 729, -72.80000000000014, 1294
124, 729, -86.29999999999916, 1198
125, 729, -329.5, 1140
126, 729, -74.60000000000004, 1156
127, 729, -100.89999999999883, 1271
128, 454, -58.40000000000036, 1366
129, 729, -94.39999999999864, 1349
130, 729, -124.0999999999978, 1282
131, 729, -105.8999999999983, 1228
132, 729, -126.59999999999788, 1258
133, 729, -75.49999999999996, 1464
134, 729, -73.70000000000007, 1567
135, 729, -112.39999999999871, 1354
136, 729, -97.09999999999899, 1185
137, 729, -72.80000000000014, 1356
138, 729, -191.29999999999745, 1421
139, 729, -72.80000000000014, 1459
140, 729, -88.89999999999914, 1520
141, 729, -111.49999999999848, 1547
142, 729, -113.29999999999903, 1534
143, 729, -135.80000000000027, 1504
144, 729, -91.69999999999912, 1497
145, 729, -93.49999999999886, 1280
146, 729, -134.89999999999813, 1478
147, 729, -242.89999999999856, 1646
148, 729, -78.20000000000003, 1276
149, 729, -147.49999999999758, 1309
150, 399, -66.80000000000015, 1520
151, 729, -161.8999999999976, 1302
152, 729, -117.79999999999902, 1719
153, 729, -104.29999999999922, 1357
154, 729, -86.29999999999946, 1386
155, 729, -79.99999999999969, 1319
156, 729, -117.99999999999855, 1444
157, 729, -74.60000000000004, 1481
158, 729, -72.80000000000014, 1506
159, 729, -84.49999999999945, 1325
160, 729, -97.99999999999831, 1563
161, 729, -78.19999999999983, 1483
162, 729, -91.6999999999994, 1342
163, 729, -223.09999999999783, 1648
164, 729, -79.09999999999977, 1373
165, 729, -223.09999999999758, 1349
166, 729, -102.49999999999858, 2066
167, 729, -72.80000000000014, 1954
168, 729, -73.70000000000009, 1598
169, 729, -89.39999999999958, 1606
170, 729, -116.89999999999858, 1959
171, 729, -73.70000000000007, 1771
172, 729, -123.19999999999828, 2063
173, 729, -88.09999999999924, 2438
174, 729, -73.70000000000009, 2075
175, 729, -80.39999999999974, 1775
176, 729, -72.80000000000014, 1943
177, 729, -91.69999999999916, 1956
178, 729, -72.80000000000014, 2237
179, 729, -72.80000000000014, 2135
180, 729, -124.99999999999815, 2017
181, 729, -77.29999999999981, 2098
182, 729, -72.80000000000014, 1760
183, 537, -62.0000000000005, 1794
184, 729, -125.09999999999884, 1854
185, 729, -72.80000000000014, 1917
186, 729, -124.99999999999811, 1487
187, 729, -133.09999999999843, 1821
188, 729, -79.09999999999968, 1711
189, 729, -89.89999999999928, 1923
190, 729, -110.59999999999911, 1761
191, 729, -76.39999999999993, 2068
192, 729, -74.60000000000004, 1877
193, 729, -90.7999999999994, 1860
194, 729, -76.39999999999998, 2220
195, 729, -75.49999999999994, 1978
196, 399, -51.500000000000384, 1930
197, 729, -79.09999999999972, 1719
198, 729, -108.4999999999988, 1788
199, 729, -72.80000000000014, 1602
200, 729, -283.3999999999994, 1788
201, 729, -116.69999999999844, 1504
202, 651, -173.19999999999843, 1405
203, 559, -68.40000000000023, 1373
204, 729, -91.69999999999914, 1857
205, 722, -104.19999999999916, 1730
206, 729, -77.29999999999984, 1842
207, 729, -82.6999999999995, 1793
208, 729, -84.49999999999945, 1757
209, 729, -80.89999999999976, 1786
210, 729, -75.49999999999994, 1591
211, 729, -124.89999999999975, 1748
212, 729, -72.80000000000014, 1593
213, 729, -99.79999999999903, 1878
214, 729, -72.80000000000014, 1787
215, 729, -98.89999999999904, 1813
216, 729, -104.29999999999917, 1874
